3_0__CCD,3_0__GR,3_0__PQ,1_0__CCD,1_0__GR,1_0__PQ,2_0__CCD,2_0__GR,2_0__PQ
39550344828,0.132756294,0,19912500000,0.039072073,0,25474267241,0.009360196,0
49918577586,0.08535111,0,38095144279,0.255846407,0,45568699053,0.792885541,0
66158599996,0.14212824,0,50857494750,0.365848455,0,61621897015,0.525616558,0
91836207771,0.09077492,0,65632574330,0.328560398,0,77618083337,0.299871792,100
1.25525E+11,0.331579798,0,91452471584,0.061647976,0,96154968228,0.32775149,100
1.5893E+11,0.334295517,0,1.22325E+11,0.220667719,0,1.28829E+11,0.331482458,100
1.87047E+11,0.409255789,100,1.59921E+11,0.130475569,100,1.51728E+11,0.590070013,100
2.06107E+11,0.46856564,100,1.93735E+11,0.050176141,100,1.80615E+11,0.305930148,200
2.28823E+11,0.247644144,100,2.27827E+11,0.348521283,100,1.9837E+11,0.513073421,200
2.47822E+11,0.44571354,100,2.59857E+11,0.225248956,100,2.28367E+11,0.115774479,200
2.66487E+11,0.577966574,100,2.89623E+11,0.537964223,100,2.569E+11,0.404695582,200
2.9353E+11,0.344814451,200,3.20353E+11,0.310813312,200,2.74449E+11,0.494794081,200
3.12453E+11,0.550354992,200,3.50259E+11,0.660931104,200,3.0376E+11,0.368829071,200
3.41143E+11,0.274197565,200,3.78449E+11,0.226698935,200,3.3305E+11,0.290943068,300
3.63224E+11,0.052373974,200,4.01629E+11,0.602377378,200,3.53412E+11,0.432532909,300
3.90534E+11,0.077106922,200,4.36421E+11,0.167299371,300,3.79627E+11,0.40985519,300
4.11448E+11,0.035357739,200,4.60073E+11,0.103335095,300,3.98345E+11,0.589684277,300
4.2592E+11,0.029267644,200,4.78406E+11,0.152791985,300,4.26762E+11,0.422013295,400
4.40481E+11,0.041402162,200,4.95496E+11,0.399136069,300,4.6594E+11,0.121699447,400
4.59847E+11,0.075568026,200,5.22749E+11,0.263309955,300,5.11287E+11,0.136621122,400
4.79884E+11,0.226514551,200,5.47096E+11,0.093416593,300,5.37585E+11,0.104459932,400
5.04795E+11,0.091395619,300,5.75362E+11,0.321243974,300,5.61181E+11,0.2645389,400
5.31138E+11,0.1340944,300,6.03348E+11,0.294293811,400,5.76333E+11,0.207707134,400
5.51229E+11,0.229769796,300,6.32983E+11,0.281008495,400,6.01601E+11,0.203128783,500
5.70441E+11,0.259275931,300,6.47303E+11,0.348732126,400,6.20596E+11,0.426635353,500
5.91782E+11,0.322580014,300,6.83081E+11,0.321487696,400,6.45097E+11,0.290386749,500
6.08657E+11,0.343913498,300,7.13324E+11,0.138726536,400,6.61485E+11,0.587150779,500
,,,7.41583E+11,0.257830713,400,6.81598E+11,0.092153404,600
,,,7.68333E+11,0.136279073,500,6.94782E+11,0.397856733,600
,,,7.97213E+11,0.051289473,500,7.2082E+11,0.36637236,600
,,,8.21353E+11,0.121613298,500,7.46544E+11,0.130230513,600
,,,8.43234E+11,0.383707556,500,7.67942E+11,0.088841808,600
,,,,,,7.91408E+11,0.293109018,600
,,,,,,8.16037E+11,0.448596895,700
,,,,,,8.30364E+11,0.42033252,700
,,,,,,8.73351E+11,0.180479024,700
