pq_flux,nadh_1_0,total_tca_1_0,undamaged_tca_1_0,damaged_tca_1_0,nadh_0_0,total_tca_0_0,undamaged_tca_0_0,damaged_tca_0_0,,,,,,,,,,,,,
0.00005,2.84,0.01,0.0075,0.0025,4.55,0.016,0.0129,0.0031,,,,,,,,,,,,,#DIV/0!
0.000140816,2.83,0.0101,0.0075,0.0026,4.53,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000231633,2.81,0.0101,0.0075,0.0026,4.5,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000322449,2.8,0.0101,0.0075,0.0026,4.48,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000413265,2.79,0.0101,0.0074,0.0027,4.45,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000504082,2.77,0.0101,0.0074,0.0027,4.43,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000594898,2.76,0.0101,0.0073,0.0028,4.4,0.016,0.0128,0.0032,,,,,,,,,,,,,
0.000685714,2.75,0.0101,0.0073,0.0028,4.37,0.016,0.0127,0.0033,,,,,,,,,,,,,
0.000776531,2.73,0.0101,0.0073,0.0028,4.35,0.016,0.0127,0.0033,,,,,,,,,,,,,
0.000867347,2.72,0.0101,0.0072,0.0029,4.32,0.016,0.0127,0.0033,,,,,,,,,,,,,
0.000958163,2.71,0.0101,0.0072,0.0029,4.29,0.016,0.0127,0.0033,,,,,,,,,,,,,
0.00104898,2.69,0.0101,0.0072,0.0029,4.27,0.0161,0.0129,0.0032,,,,,,,,,,,,,
0.001139796,2.68,0.0101,0.0071,0.003,4.24,0.0161,0.0129,0.0032,,,,,,,,,,,,,
0.001230612,2.67,0.0101,0.0071,0.003,4.21,0.0161,0.0128,0.0033,,,,,,,,,,,,,
0.001321429,2.65,0.0101,0.0071,0.003,4.18,0.0161,0.0128,0.0033,,,,,,,,,,,,,
0.001412245,2.64,0.0101,0.0071,0.003,4.15,0.0161,0.0128,0.0033,,,,,,,,,,,,,
0.001503061,2.63,0.0101,0.007,0.0031,4.12,0.0161,0.0128,0.0033,,,,,,,,,,,,,
0.001593878,2.61,0.0101,0.007,0.0031,4.09,0.0161,0.0128,0.0033,,,,,,,,,,,,,
0.001684694,2.6,0.0101,0.007,0.0031,4.06,0.0161,0.0127,0.0034,,,,,,,,,,,,,
0.00177551,2.59,0.0102,0.007,0.0032,4.03,0.0161,0.0127,0.0034,,,,,,,,,,,,,
0.001866327,2.57,0.0102,0.007,0.0032,4,0.0161,0.0127,0.0034,,,,,,,,,,,,,
0.001957143,2.56,0.0102,0.007,0.0032,3.97,0.0161,0.0127,0.0034,,,,,,,,,,,,,
0.002047959,2.55,0.0102,0.007,0.0032,3.94,0.0161,0.0126,0.0035,,,,,,,,,,,,,
0.002138776,2.54,0.0102,0.007,0.0032,3.91,0.0161,0.0126,0.0035,,,,,,,,,,,,,
0.002229592,2.52,0.0102,0.007,0.0032,3.87,0.0161,0.0126,0.0035,,,,,,,,,,,,,
0.002320408,2.51,0.0102,0.007,0.0032,3.84,0.0161,0.0126,0.0035,,,,,,,,,,,,,
0.002411224,2.5,0.0102,0.0069,0.0033,3.81,0.0161,0.0125,0.0036,,,,,,,,,,,,,
0.002502041,2.48,0.0102,0.0069,0.0033,3.77,0.0161,0.0125,0.0036,,,,,,,,,,,,,
0.002592857,2.47,0.0102,0.0069,0.0033,3.74,0.0161,0.0125,0.0036,,,,,,,,,,,,,
0.002683673,2.46,0.0102,0.0069,0.0033,3.7,0.0162,0.0126,0.0036,,,,,,,,,,,,,
0.00277449,2.44,0.0102,0.0068,0.0034,3.67,0.0162,0.0126,0.0036,,,,,,,,,,,,,
0.002865306,2.42,0.0102,0.0068,0.0034,3.65,0.0162,0.0126,0.0036,,,,,,,,,,,,,
0.002956122,2.41,0.0103,0.0069,0.0034,3.63,0.0162,0.0126,0.0036,,,,,,,,,,,,,
0.003046939,,,,,3.59,0.0162,0.0126,0.0036,,,,,,,,,,,,,
0.003137755,,,,,3.55,0.0162,0.0125,0.0037,,,,,,,,,,,,,
0.003228571,,,,,3.51,0.0162,0.0125,0.0037,,,,,,,,,,,,,
0.003319388,,,,,3.47,0.0162,0.0124,0.0038,,,,,,,,,,,,,
0.003410204,,,,,3.42,0.0162,0.0124,0.0038,,,,,,,,,,,,,
0.00350102,,,,,3.38,0.0162,0.0124,0.0038,,,,,,,,,,,,,
0.003591837,,,,,3.33,0.0162,0.0123,0.0039,,,,,,,,,,,,,
0.003682653,,,,,3.29,0.0162,0.0123,0.0039,,,,,,,,,,,,,
0.003773469,,,,,3.24,0.0162,0.0122,0.004,,,,,,,,,,,,,
0.003864286,,,,,3.18,0.0162,0.0122,0.004,,,,,,,,,,,,,
0.003955102,,,,,3.12,0.0162,0.0121,0.0041,,,,,,,,,,,,,
0.004045918,,,,,3,0.0162,0.012,0.0042,,,,,,,,,,,,,
0.004136735,,,,,2.94,0.0162,0.012,0.0042,,,,,,,,,,,,,
0.004227551,,,,,2.86,0.0162,0.0119,0.0043,,,,,,,,,,,,,
0.004318367,,,,,2.78,0.0162,0.0119,0.0043,,,,,,,,,,,,,
0.004409184,,,,,2.69,0.0162,0.0118,0.0044,,,,,,,,,,,,,
0.0045,,,,,2.5,0.0162,0.0117,0.0045,,,,,,,,,,,,,
